UNIX time,seconds_elapsed,z,y,x,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1763934556787826200,28.0738,-1.094884026,0.006883695099,0.6218138017,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556797878300,28.0839,1.071165589,0.7259849548,0.05002162975,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556807929300,28.0939,1.167465278,0.1130898612,-0.1968757403,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556817980400,28.1040,-0.1898795978,0.1268170655,0.3920037601,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556828032300,28.1140,0.1623157374,0.6946857073,-0.2349959198,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556838083300,28.1241,0.1795019961,0.09729330321,-0.3153910605,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556848134400,28.1341,-0.2312272149,0.1940006963,0.1815641894,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556858185200,28.1442,0.1947626936,0.4008971145,-0.02262216617,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556868237300,28.1542,0.4430813286,0.3363662632,0.03021802813,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556878288400,28.1643,0.4805576573,0.5318146741,0.02227729826,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556888339200,28.1743,0.3294093568,0.6187070679,0.2952139494,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556898390300,28.1844,0.06493219864,0.8757265304,0.05462824677,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556908442400,28.1944,0.2819979095,1.266272858,-0.1554565192,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556918493200,28.2045,0.01899579237,0.9829170313,0.3805202431,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556928544300,28.2145,0.3989676078,1.301251671,0.3066530428,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556938596400,28.2246,0.4918728321,1.265160075,0.03443944522,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556948647200,28.2346,0.3424301664,1.087795894,0.1900222211,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556958698200,28.2447,0.6662878804,1.169779546,0.251222832,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556968749300,28.2547,0.911022081,0.9798706494,0.1951110687,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556978801200,28.2648,0.69724679,0.76125654,0.0147989252,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556988852200,28.2749,0.5725172714,0.6385780357,0.05067044905,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934556998903300,28.2849,0.703384416,0.4548696739,0.1717430526,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557008954400,28.2950,0.6177437758,0.2835503996,0.1542886444,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557019006200,28.3050,2.954011133,0.4233770957,-0.7780348755,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557029057300,28.3151,0.6143292912,0.1115222465,0.7198410452,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557039108400,28.3251,-1.246876084,-0.872987607,0.6530909835,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557049159200,28.3352,-0.963233622,0.1855096391,-0.6375076299,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557059211300,28.3452,-2.11910257,-0.1326760937,0.07691197477,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557069262300,28.3553,0.8501679455,-0.3384995489,-0.4212310236,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557079313200,28.3653,1.532009369,0.09562909633,0.3053577423,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557089365200,28.3754,0.4701633968,-0.4279641313,0.4278624245,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557099416300,28.3854,0.06421162928,0.1786816927,-0.2890986814,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557109467400,28.3955,-0.3884875687,-0.03676679219,-0.1575076065,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557119518000,28.4055,-0.1418684311,0.1166238805,0.02411854221,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557129570300,28.4156,-0.3445711239,0.1360086722,0.03456394838,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557139621400,28.4256,-0.6901007176,0.2384039747,-0.2746212433,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557149672200,28.4357,-0.7388323076,0.2701479703,-0.1592056426,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557159723000,28.4457,-1.222919162,0.1466727626,-0.1077536878,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557169775400,28.4558,-1.104906677,0.1563438234,-0.01336626205,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557179826200,28.4658,-0.3743628895,-0.02139605845,-0.09292436741,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557189877200,28.4759,-0.1230661154,0.1036913337,0.1617512354,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557199929300,28.4859,-0.2274734154,0.01874802816,0.06404957058,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557209980200,28.4960,0.1009340709,0.01335515614,0.2017594207,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557220031200,28.5060,0.9658920276,0.07961071233,0.3400923711,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557230082300,28.5161,1.104358249,0.2924442655,-0.2461363225,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557240134100,28.5261,0.5125590618,0.5387904314,-0.960201707,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557250185200,28.5362,0.07354454416,0.695759401,-0.5491156453,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557260236300,28.5462,-0.1183946165,0.6807945446,-0.3474035709,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557270287400,28.5563,-0.06967734734,0.578180777,-0.1983849758,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
1763934557280339200,28.5663,-0.007304185534,0.2525381524,0.275522576,235.6451102,0.3080157143,7.258974519,43.12492858,270.1267424,188.8984833,4.74865153,6.504738219,-89.31832651,3.668035984
